RF,RS,Id,NumId,Population
data/fastq/P22652_101_trimmed_1.fastq.gz,data/fastq/P22652_101_trimmed_2.fastq.gz,P22652_101,1,default
data/fastq/P22652_102_trimmed_1.fastq.gz,data/fastq/P22652_102_trimmed_2.fastq.gz,P22652_102,2,default
data/fastq/P22652_103_trimmed_1.fastq.gz,data/fastq/P22652_103_trimmed_2.fastq.gz,P22652_103,3,default
data/fastq/P22652_104_trimmed_1.fastq.gz,data/fastq/P22652_104_trimmed_2.fastq.gz,P22652_104,4,default
data/fastq/P22652_105_trimmed_1.fastq.gz,data/fastq/P22652_105_trimmed_2.fastq.gz,P22652_105,5,default
data/fastq/P22652_106_trimmed_1.fastq.gz,data/fastq/P22652_106_trimmed_2.fastq.gz,P22652_106,6,default
data/fastq/P22652_107_trimmed_1.fastq.gz,data/fastq/P22652_107_trimmed_2.fastq.gz,P22652_107,7,default
data/fastq/P22652_108_trimmed_1.fastq.gz,data/fastq/P22652_108_trimmed_2.fastq.gz,P22652_108,8,default
data/fastq/P22652_109_trimmed_1.fastq.gz,data/fastq/P22652_109_trimmed_2.fastq.gz,P22652_109,9,default
data/fastq/P22652_110_trimmed_1.fastq.gz,data/fastq/P22652_110_trimmed_2.fastq.gz,P22652_110,10,default
data/fastq/P22652_111_trimmed_1.fastq.gz,data/fastq/P22652_111_trimmed_2.fastq.gz,P22652_111,11,default
data/fastq/P22652_112_trimmed_1.fastq.gz,data/fastq/P22652_112_trimmed_2.fastq.gz,P22652_112,12,default
data/fastq/P22652_113_trimmed_1.fastq.gz,data/fastq/P22652_113_trimmed_2.fastq.gz,P22652_113,13,default
data/fastq/P22652_114_trimmed_1.fastq.gz,data/fastq/P22652_114_trimmed_2.fastq.gz,P22652_114,14,default
data/fastq/P22652_115_trimmed_1.fastq.gz,data/fastq/P22652_115_trimmed_2.fastq.gz,P22652_115,15,default
data/fastq/P22652_116_trimmed_1.fastq.gz,data/fastq/P22652_116_trimmed_2.fastq.gz,P22652_116,16,default
data/fastq/P22652_117_trimmed_1.fastq.gz,data/fastq/P22652_117_trimmed_2.fastq.gz,P22652_117,17,default
data/fastq/P22652_118_trimmed_1.fastq.gz,data/fastq/P22652_118_trimmed_2.fastq.gz,P22652_118,18,default
data/fastq/P22652_119_trimmed_1.fastq.gz,data/fastq/P22652_119_trimmed_2.fastq.gz,P22652_119,19,default
data/fastq/P22652_120_trimmed_1.fastq.gz,data/fastq/P22652_120_trimmed_2.fastq.gz,P22652_120,20,default
data/fastq/P22652_121_trimmed_1.fastq.gz,data/fastq/P22652_121_trimmed_2.fastq.gz,P22652_121,21,default
data/fastq/P22652_122_trimmed_1.fastq.gz,data/fastq/P22652_122_trimmed_2.fastq.gz,P22652_122,22,default
data/fastq/P22652_123_trimmed_1.fastq.gz,data/fastq/P22652_123_trimmed_2.fastq.gz,P22652_123,23,default
data/fastq/P22652_124_trimmed_1.fastq.gz,data/fastq/P22652_124_trimmed_2.fastq.gz,P22652_124,24,default
data/fastq/P22652_125_trimmed_1.fastq.gz,data/fastq/P22652_125_trimmed_2.fastq.gz,P22652_125,25,default
data/fastq/P22652_126_trimmed_1.fastq.gz,data/fastq/P22652_126_trimmed_2.fastq.gz,P22652_126,26,default
data/fastq/P22652_127_trimmed_1.fastq.gz,data/fastq/P22652_127_trimmed_2.fastq.gz,P22652_127,27,default
data/fastq/P22652_128_trimmed_1.fastq.gz,data/fastq/P22652_128_trimmed_2.fastq.gz,P22652_128,28,default
data/fastq/P22652_129_trimmed_1.fastq.gz,data/fastq/P22652_129_trimmed_2.fastq.gz,P22652_129,29,default
data/fastq/P22652_130_trimmed_1.fastq.gz,data/fastq/P22652_130_trimmed_2.fastq.gz,P22652_130,30,default
data/fastq/P22652_131_trimmed_1.fastq.gz,data/fastq/P22652_131_trimmed_2.fastq.gz,P22652_131,31,default
data/fastq/P22652_132_trimmed_1.fastq.gz,data/fastq/P22652_132_trimmed_2.fastq.gz,P22652_132,32,default
data/fastq/P22652_133_trimmed_1.fastq.gz,data/fastq/P22652_133_trimmed_2.fastq.gz,P22652_133,33,default
data/fastq/P22652_134_trimmed_1.fastq.gz,data/fastq/P22652_134_trimmed_2.fastq.gz,P22652_134,34,default
data/fastq/P22652_135_trimmed_1.fastq.gz,data/fastq/P22652_135_trimmed_2.fastq.gz,P22652_135,35,default
data/fastq/P22652_136_trimmed_1.fastq.gz,data/fastq/P22652_136_trimmed_2.fastq.gz,P22652_136,36,default
data/fastq/P22652_137_trimmed_1.fastq.gz,data/fastq/P22652_137_trimmed_2.fastq.gz,P22652_137,37,default
data/fastq/P22652_138_trimmed_1.fastq.gz,data/fastq/P22652_138_trimmed_2.fastq.gz,P22652_138,38,default
data/fastq/P22652_139_trimmed_1.fastq.gz,data/fastq/P22652_139_trimmed_2.fastq.gz,P22652_139,39,default
data/fastq/P22652_140_trimmed_1.fastq.gz,data/fastq/P22652_140_trimmed_2.fastq.gz,P22652_140,40,default
data/fastq/P22652_141_trimmed_1.fastq.gz,data/fastq/P22652_141_trimmed_2.fastq.gz,P22652_141,41,default
data/fastq/P22652_142_trimmed_1.fastq.gz,data/fastq/P22652_142_trimmed_2.fastq.gz,P22652_142,42,default
data/fastq/P22652_143_trimmed_1.fastq.gz,data/fastq/P22652_143_trimmed_2.fastq.gz,P22652_143,43,default
data/fastq/P22652_144_trimmed_1.fastq.gz,data/fastq/P22652_144_trimmed_2.fastq.gz,P22652_144,44,default
data/fastq/P22652_145_trimmed_1.fastq.gz,data/fastq/P22652_145_trimmed_2.fastq.gz,P22652_145,45,default
data/fastq/P22652_146_trimmed_1.fastq.gz,data/fastq/P22652_146_trimmed_2.fastq.gz,P22652_146,46,default
data/fastq/P22652_147_trimmed_1.fastq.gz,data/fastq/P22652_147_trimmed_2.fastq.gz,P22652_147,47,default
data/fastq/P22652_148_trimmed_1.fastq.gz,data/fastq/P22652_148_trimmed_2.fastq.gz,P22652_148,48,default
data/fastq/P22652_149_trimmed_1.fastq.gz,data/fastq/P22652_149_trimmed_2.fastq.gz,P22652_149,49,default
data/fastq/P22652_150_trimmed_1.fastq.gz,data/fastq/P22652_150_trimmed_2.fastq.gz,P22652_150,50,default
data/fastq/P22652_151_trimmed_1.fastq.gz,data/fastq/P22652_151_trimmed_2.fastq.gz,P22652_151,51,default
data/fastq/P22652_152_trimmed_1.fastq.gz,data/fastq/P22652_152_trimmed_2.fastq.gz,P22652_152,52,default
data/fastq/P22652_153_trimmed_1.fastq.gz,data/fastq/P22652_153_trimmed_2.fastq.gz,P22652_153,53,default
data/fastq/P22652_154_trimmed_1.fastq.gz,data/fastq/P22652_154_trimmed_2.fastq.gz,P22652_154,54,default
data/fastq/P22652_155_trimmed_1.fastq.gz,data/fastq/P22652_155_trimmed_2.fastq.gz,P22652_155,55,default
data/fastq/P22652_156_trimmed_1.fastq.gz,data/fastq/P22652_156_trimmed_2.fastq.gz,P22652_156,56,default
data/fastq/P22652_157_trimmed_1.fastq.gz,data/fastq/P22652_157_trimmed_2.fastq.gz,P22652_157,57,default
data/fastq/P22652_158_trimmed_1.fastq.gz,data/fastq/P22652_158_trimmed_2.fastq.gz,P22652_158,58,default
data/fastq/P22652_159_trimmed_1.fastq.gz,data/fastq/P22652_159_trimmed_2.fastq.gz,P22652_159,59,default
data/fastq/P22652_160_trimmed_1.fastq.gz,data/fastq/P22652_160_trimmed_2.fastq.gz,P22652_160,60,default
data/fastq/P22652_161_trimmed_1.fastq.gz,data/fastq/P22652_161_trimmed_2.fastq.gz,P22652_161,61,default
data/fastq/P22652_162_trimmed_1.fastq.gz,data/fastq/P22652_162_trimmed_2.fastq.gz,P22652_162,62,default
data/fastq/P22652_163_trimmed_1.fastq.gz,data/fastq/P22652_163_trimmed_2.fastq.gz,P22652_163,63,default
data/fastq/P22652_164_trimmed_1.fastq.gz,data/fastq/P22652_164_trimmed_2.fastq.gz,P22652_164,64,default
data/fastq/P22652_165_trimmed_1.fastq.gz,data/fastq/P22652_165_trimmed_2.fastq.gz,P22652_165,65,default
data/fastq/P22652_166_trimmed_1.fastq.gz,data/fastq/P22652_166_trimmed_2.fastq.gz,P22652_166,66,default
data/fastq/P22652_167_trimmed_1.fastq.gz,data/fastq/P22652_167_trimmed_2.fastq.gz,P22652_167,67,default
data/fastq/P22652_168_trimmed_1.fastq.gz,data/fastq/P22652_168_trimmed_2.fastq.gz,P22652_168,68,default
data/fastq/P22652_169_trimmed_1.fastq.gz,data/fastq/P22652_169_trimmed_2.fastq.gz,P22652_169,69,default
data/fastq/P22652_170_trimmed_1.fastq.gz,data/fastq/P22652_170_trimmed_2.fastq.gz,P22652_170,70,default
data/fastq/P22652_171_trimmed_1.fastq.gz,data/fastq/P22652_171_trimmed_2.fastq.gz,P22652_171,71,default
data/fastq/P22652_172_trimmed_1.fastq.gz,data/fastq/P22652_172_trimmed_2.fastq.gz,P22652_172,72,default
data/fastq/P22652_173_trimmed_1.fastq.gz,data/fastq/P22652_173_trimmed_2.fastq.gz,P22652_173,73,default
data/fastq/P22652_174_trimmed_1.fastq.gz,data/fastq/P22652_174_trimmed_2.fastq.gz,P22652_174,74,default
data/fastq/P22652_175_trimmed_1.fastq.gz,data/fastq/P22652_175_trimmed_2.fastq.gz,P22652_175,75,default
data/fastq/P22652_176_trimmed_1.fastq.gz,data/fastq/P22652_176_trimmed_2.fastq.gz,P22652_176,76,default
data/fastq/P22652_177_trimmed_1.fastq.gz,data/fastq/P22652_177_trimmed_2.fastq.gz,P22652_177,77,default
data/fastq/P22652_178_trimmed_1.fastq.gz,data/fastq/P22652_178_trimmed_2.fastq.gz,P22652_178,78,default
data/fastq/P22652_179_trimmed_1.fastq.gz,data/fastq/P22652_179_trimmed_2.fastq.gz,P22652_179,79,default
data/fastq/P22652_180_trimmed_1.fastq.gz,data/fastq/P22652_180_trimmed_2.fastq.gz,P22652_180,80,default
data/fastq/P22652_181_trimmed_1.fastq.gz,data/fastq/P22652_181_trimmed_2.fastq.gz,P22652_181,81,default
data/fastq/P22652_182_trimmed_1.fastq.gz,data/fastq/P22652_182_trimmed_2.fastq.gz,P22652_182,82,default
data/fastq/P22652_183_trimmed_1.fastq.gz,data/fastq/P22652_183_trimmed_2.fastq.gz,P22652_183,83,default
data/fastq/P22652_184_trimmed_1.fastq.gz,data/fastq/P22652_184_trimmed_2.fastq.gz,P22652_184,84,default
data/fastq/P22652_185_trimmed_1.fastq.gz,data/fastq/P22652_185_trimmed_2.fastq.gz,P22652_185,85,default
data/fastq/P22652_186_trimmed_1.fastq.gz,data/fastq/P22652_186_trimmed_2.fastq.gz,P22652_186,86,default
data/fastq/P22652_187_trimmed_1.fastq.gz,data/fastq/P22652_187_trimmed_2.fastq.gz,P22652_187,87,default
data/fastq/P22652_188_trimmed_1.fastq.gz,data/fastq/P22652_188_trimmed_2.fastq.gz,P22652_188,88,default
data/fastq/P22652_189_trimmed_1.fastq.gz,data/fastq/P22652_189_trimmed_2.fastq.gz,P22652_189,89,default
data/fastq/P22652_190_trimmed_1.fastq.gz,data/fastq/P22652_190_trimmed_2.fastq.gz,P22652_190,90,default
data/fastq/P22652_191_trimmed_1.fastq.gz,data/fastq/P22652_191_trimmed_2.fastq.gz,P22652_191,91,default
data/fastq/P22652_192_trimmed_1.fastq.gz,data/fastq/P22652_192_trimmed_2.fastq.gz,P22652_192,92,default
